time,val,Day,Hour,delta,eaten,given,eaten_cum_Day,given_cum_Day
2019-07-08 19:04:48,19.0,2019-07-08, 19:04:48,0.0,0.0,0.0,27.0,29.0
2019-07-08 19:10:08,19.0,2019-07-08, 19:10:08,0.0,0.0,0.0,27.0,29.0
2019-07-08 19:15:30,19.0,2019-07-08, 19:15:30,0.0,0.0,0.0,27.0,29.0
2019-07-08 19:20:48,16.0,2019-07-08, 19:20:48,-3.0,3.0,0.0,30.0,29.0
2019-07-08 19:26:05,13.0,2019-07-08, 19:26:05,-3.0,3.0,0.0,33.0,29.0
2019-07-08 19:31:26,13.0,2019-07-08, 19:31:26,0.0,0.0,0.0,33.0,29.0
2019-07-08 19:36:48,13.0,2019-07-08, 19:36:48,0.0,0.0,0.0,33.0,29.0
2019-07-08 19:42:10,13.0,2019-07-08, 19:42:10,0.0,0.0,0.0,33.0,29.0
2019-07-08 19:47:26,13.0,2019-07-08, 19:47:26,0.0,0.0,0.0,33.0,29.0
2019-07-08 19:52:48,13.0,2019-07-08, 19:52:48,0.0,0.0,0.0,33.0,29.0
2019-07-08 19:58:05,13.0,2019-07-08, 19:58:05,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:03:28,13.0,2019-07-08, 20:03:28,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:08:49,13.0,2019-07-08, 20:08:49,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:14:05,13.0,2019-07-08, 20:14:05,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:19:28,13.0,2019-07-08, 20:19:28,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:24:49,13.0,2019-07-08, 20:24:49,0.0,0.0,0.0,33.0,29.0
2019-07-08 20:30:14,15.0,2019-07-08, 20:30:14,2.0,0.0,2.0,33.0,31.0
2019-07-08 20:35:35,5.0,2019-07-08, 20:35:35,-10.0,10.0,0.0,43.0,31.0
2019-07-08 20:40:51,5.0,2019-07-08, 20:40:51,0.0,0.0,0.0,43.0,31.0
2019-07-08 20:46:08,5.0,2019-07-08, 20:46:08,0.0,0.0,0.0,43.0,31.0
2019-07-08 20:51:30,5.0,2019-07-08, 20:51:30,0.0,0.0,0.0,43.0,31.0
2019-07-08 20:56:48,5.0,2019-07-08, 20:56:48,0.0,0.0,0.0,43.0,31.0
2019-07-08 21:02:09,19.0,2019-07-08, 21:02:09,14.0,0.0,14.0,43.0,45.0
2019-07-08 21:07:32,19.0,2019-07-08, 21:07:32,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:12:51,19.0,2019-07-08, 21:12:51,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:18:14,19.0,2019-07-08, 21:18:14,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:23:32,19.0,2019-07-08, 21:23:32,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:28:51,19.0,2019-07-08, 21:28:51,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:34:12,19.0,2019-07-08, 21:34:12,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:39:35,19.0,2019-07-08, 21:39:35,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:44:55,19.0,2019-07-08, 21:44:55,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:50:19,19.0,2019-07-08, 21:50:19,0.0,0.0,0.0,43.0,45.0
2019-07-08 21:55:37,19.0,2019-07-08, 21:55:37,0.0,0.0,0.0,43.0,45.0
2019-07-08 22:00:54,19.0,2019-07-08, 22:00:54,0.0,0.0,0.0,43.0,45.0
2019-07-08 22:06:16,19.0,2019-07-08, 22:06:16,0.0,0.0,0.0,43.0,45.0
2019-07-08 22:11:32,19.0,2019-07-08, 22:11:32,0.0,0.0,0.0,43.0,45.0
2019-07-08 22:16:48,20.0,2019-07-08, 22:16:48,1.0,0.0,1.0,43.0,46.0
2019-07-08 22:22:08,15.0,2019-07-08, 22:22:08,-5.0,5.0,0.0,48.0,46.0
2019-07-08 22:27:29,13.0,2019-07-08, 22:27:29,-2.0,2.0,0.0,50.0,46.0
2019-07-08 22:32:50,13.0,2019-07-08, 22:32:50,0.0,0.0,0.0,50.0,46.0
2019-07-08 22:38:13,13.0,2019-07-08, 22:38:13,0.0,0.0,0.0,50.0,46.0
2019-07-08 22:43:34,13.0,2019-07-08, 22:43:34,0.0,0.0,0.0,50.0,46.0
2019-07-08 22:48:56,13.0,2019-07-08, 22:48:56,0.0,0.0,0.0,50.0,46.0
2019-07-08 22:54:13,13.0,2019-07-08, 22:54:13,0.0,0.0,0.0,50.0,46.0
2019-07-08 22:59:33,13.0,2019-07-08, 22:59:33,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:04:49,13.0,2019-07-08, 23:04:49,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:10:14,13.0,2019-07-08, 23:10:14,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:15:31,13.0,2019-07-08, 23:15:31,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:20:56,13.0,2019-07-08, 23:20:56,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:26:24,13.0,2019-07-08, 23:26:24,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:31:45,13.0,2019-07-08, 23:31:45,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:37:08,13.0,2019-07-08, 23:37:08,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:42:30,13.0,2019-07-08, 23:42:30,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:47:52,13.0,2019-07-08, 23:47:52,0.0,0.0,0.0,50.0,46.0
2019-07-08 23:53:13,13.0,2019-07-08, 23:53:13,0.0,0.0,0.0,50.0,46.0
